time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.152	4.500	950	11242.6	1852.95	0	1015.9	809.017	0.261321	0.738679	0.885043	0.0887587	0.0261984	1	0
0.153	4.500	950	11399.4	1852.93	0	1015.9	809.017	0.260489	0.739511	0.884814	0.0885055	0.0266807	1	0
0.154	4.500	950	11383.7	1852.93	0	1015.9	809.017	0.259223	0.740777	0.883777	0.0896026	0.0266204	1	0
0.155	4.500	950	11604.2	1852.91	0	1015.9	809.017	0.258934	0.741066	0.884235	0.0886261	0.0271388	1	0
0.156	4.500	950	11732.9	1852.89	0	1015.9	809.017	0.259585	0.740415	0.883765	0.0886622	0.0275728	1	0
0.157	4.500	950	11721.5	1852.88	0	1015.9	809.017	0.258391	0.741609	0.881932	0.0906274	0.0274402	1	0
0.158	4.500	950	11614.6	1852.9	0	1015.9	809.017	0.260959	0.739041	0.882041	0.0908324	0.0271267	1	0
0.159	4.500	950	11656.1	1852.9	0	1015.9	809.017	0.258608	0.741392	0.882041	0.0907118	0.0272473	1	0
0.16	4.500	950	11659.6	1852.9	0	1015.9	809.017	0.260344	0.739656	0.882354	0.0904345	0.0272111	1	0
0.161	4.500	950	11793.9	1852.89	0	1015.9	809.017	0.261646	0.738354	0.882318	0.090109	0.0275728	1	0
0.162	4.500	950	11887.6	1852.88	0	1015.9	809.017	0.258536	0.741464	0.882005	0.0902537	0.0277416	1	0
0.163	4.500	950	11873.5	1852.89	0	1015.9	809.017	0.258066	0.741934	0.881474	0.09076	0.0277657	1	0
0.164	4.500	950	11855.3	1852.89	0	1015.9	809.017	0.260127	0.739873	0.881101	0.0911338	0.0277657	1	0
0.165	4.500	950	11938.7	1852.88	0	1015.9	809.017	0.259585	0.740415	0.881378	0.0906154	0.0280068	1	0
0.166	4.500	950	11901	1852.88	0	1015.9	809.017	0.259006	0.740994	0.88139	0.0907239	0.0278863	1	0
0.167	4.500	950	11901	1852.88	0	1015.9	809.017	0.26067	0.73933	0.881125	0.0910132	0.0278622	1	0
0.168	4.500	950	11907.3	1852.87	0	1015.9	809.017	0.261393	0.738607	0.881245	0.0909047	0.0278501	1	0
0.169	4.500	950	11963.5	1852.86	0	1015.9	809.017	0.261429	0.738571	0.880992	0.0910012	0.0280068	1	0
0.17	4.500	950	11963.4	1852.86	0	1015.9	809.018	0.25991	0.74009	0.880413	0.0915919	0.0279948	1	0
0.171	4.500	950	11949.4	1852.86	0	1015.9	809.017	0.263491	0.736509	0.880196	0.0919295	0.0278742	1	0
0.172	4.500	950	11918.5	1852.87	0	1015.9	809.017	0.264395	0.735605	0.880172	0.092038	0.0277898	1	0
0.173	4.500	950	11910	1852.87	0	1015.9	809.017	0.259187	0.740813	0.880245	0.0920501	0.0277054	1	0
0.174	4.500	950	11867.4	1852.88	0	1015.9	809.017	0.258898	0.741102	0.879943	0.0924117	0.0276452	1	0
